PARTNUMBER	ALTPARTNUMBER	STOCKONHAND
015516	812122015516	0
015592	812122015592	0
015622	812122015622	0
01577	310539015773	0
01597	766298015972	0
016129064335		0
016195	784229016195	0
016263	784229016263	0
016500555315		0
016500564980		0
016500566755		0
016575	812122016575	0
016636	812122016636	0
016643	812122016643	0
016926003056	147-4824	0
016946	628949016946	0
016958007336	188-2000	0
017000010168	2461275	0
017000091532	2014629	0
017060	046985017060	0
017505	733739017505	0
017604	755571017604	0
017817	046985017817	0
018	GCT018	0
018018	628949018018	0
018335	771014018335	0
018647011051		0
018787111116		0
018787762042		0
018787764169		0
018787765043		0
018787765166		0
018787769164		0
018787771020		0
018787772027	772027	0
018787773024		0
018787775080		0
018787776025		0
018787777022		0
018787778029		0
018787782057	782057	0
019077	021078019077	0
01922101		0
01973767	884521157081	0
0199	12120199	0
019962038013		0
019962038112		0
019962038211		0
019962038310		0
019962038419		0
019962770531		0
019962771231		0
0200212B	0200212	0
020047	792850020047	0
020146	792850020146	0
02021	708118020216	0
020245	792850020245	0
020344	792850020344	0
020443	792850020443	0
020452	708118020452	0
020469	708118020469	0
020542	792850020542	0
020618	364578020618	0
020667	708118020667	0
021043	018647021043	0
021078000655		0
021078024644	SN2464	0
021888800919		0
021908509167		0
021908509242		0
021908509273		0
022000159335		0
022000159403		0
022099057987		0
022099577140		0
022400264493		0
022414	364578022414	0
022440	812081022440	0
02248604		0
022509	755571022509	0
022600646143		0
022796916716		0
022796917515		0
02284004		0
02286525	226-6781	0
02289902	EXTRA GUM	0
02301	713947702301	0
023363000111		0
023363101399		0
023363300082		0
023363305629		0
023363306466		0
023363309245		0
023363319046		0
023363319084		0
023363369027		0
023363379224		0
023363520015		0
023363621019		0
023363621071		0
023363631001		0
023522	812081023522	0
023535050050	218-9322	0
023539	812081023539	0
025445001016		0
025715670119		0
025715671772		0
025715673950		0
025715674148	67414	0
025715675558		0
025715675657	196-3602	0
025715676050		0
025715676258		0
025715677606		0
025715678603		0
025715679563		0
025715913711		0
025715948812		0
026392	784229026392	0
026408	784229026408	0
0264BL-M	]048503226435	0
026651	784229026651	0
026664156969	156969	0
026664241368		0
026836	819401026836	0
027212	749190027212	0
027335	749190027335	0
027342	749190027342	0
028000080006		0
028006	791760028006	0
029202	819401029202	0
02925	5514602925	0
029408	612615029408	0
030607	078041030607	0
030617	364578030617	0
030702	733739030702	0
03071	364578030716	0
030768535032		0
030955766331		0
030955766348		0
030955767178		0
030955767918		0
030955767925		0
030955767932		0
030956	819401030956	0
030985003659		0
030985004601		0
030985004663		0
030985012002		0
03131	707636031315	0
031604011550		0
031604016814		0
031717	819401031717	0
032329	310539032329	0
032423	784229032423	0
032461	784229032461	0
032591	733739032591	0
03302	707636033029	0
033200191223		0
033200191230		0
033674101001		0
033674148501	DIMP4	0
033674178706		0
03382	382250033824	0
03392	382250033923	0
03403109		0
03424005	CO-HRS	0
03432004	CO-AJ	0
03476406		0
03486	696859034862	0
034992	819401034992	0
035081040539	04053	0
035081072639	07263	0
035081073032	07303	0
035081081433	08143	0
035081110935	11093	0
035081120835	12083	0
035081151631	15163	0
035081158135	15813	0
035081158333	15833	0
035081167335	16733	0
035081167434	16743	0
035081167731	16773	0
035081169308	16935	0
035081194133	19413	0
035081214336	21433	0
035081224335	22433	0
035081224533	22453	0
035081228531	22853	0
035081236635	23663	0
035081241936	24193	0
035081249505	24955	0
035081420119	42011	0
035081420126	42012	0
035081420133	42013	0
035081420140	42014	0
035081420157	42015	0
035081420188	42018	0
035081467718	46771	0
035081580837	58083	0
035169	628949035169	0
03524	749190035248	0
03557	819401035579	0
03561	612615035614	0
035664104856	110485	0
036000282009		0
036421	784229036421	0
036838	628949036838	0
037000661160		0
037000890270	3557584	0
037000919841		0
037000943228		0
037000946328		0
037000971306		0
03737301		0
03737602		0
037688000244		0
03781	854428003781	0
038126	749190038126	0
038136	819401038136	0
038341070611	0126007061	0
038472406228		0
038472406358		0
03856	612615038561	0
038703000812	130-7701	0
039	1000000061	0
039127009108		0
039127009207		0
0391866	5425010391866	0
039800064622		0
04005108	CANDY	0
0400512A	040051	0
04043506		0
040565111803	25767	0
040696	819401040696	0
040702	819401040702	0
041100811219		0
04115315		0
041167171004	3553294	0
04117313		0
04122315		0
04126	819401041266	0
04131711		0
041333662527		0
041383260018		0
041570051795		0
041570051801		0
041670102366		0
041840815980		0
041891	819401041891	0
041921	819401041921	0
041954000074	Z0028	0
041954000081	ZOO27	0
041954235032		0
04203	382250042031	0
042137125805		0
042137126000		0
042137126208		0
042137211003	2110	0
042137240102	2401	0
042137355707	3557	0
042137355905	3559	0
042137391101	3911	0
042137391903	3919	0
042137397202		0
042137398407	398407	0
042137429408	429408	0
042137486005		0
042137486302	4863	0
042137488504	4885	0
042137488702	4887	0
042137490309		0
042137510601		0
042137620089		0
042137630088		0
042517	763948042517	0
042850	819401042850	0
043	1000000062	0
043048	819401043048	0
043194184903		0
043451	819401043451	0
043702110110		0
043702110134	44420	0
043702461052	46105	0
043718	612615043718	0
043900186498		0
043970	819401043970	0
044677	749190044677	0
045	1000000076	0
045040	612615045040	0
045445	749190045445	0
04554	749190044554	0
04640474919004	749190046404	0
046985016650	016650	0
046985018104		0
047234	749190047234	0
047487	749190047487	0
047701002766		0
047701002773		0
04800	749190048002	0
048005	749190048057	0
048040	749190048040	0
04808	749190048088	0
04809	749190048095	0
048091	693749048091	0
048354	749190048354	0
04844	749190048446	0
04848	749190048484	0
048503026431	12249	0
048503030520	3923	0
048503031558	0315	0
048503194437		0
048503194451		0
048503208325	12235	0
048503218331	2082	0
048503230654		0
048503236021	12229	0
048503241650	2416	0
048503241735	2417	0
048503277321		0
048503277468	12160	0
048503291358	1913BL-L	0
048503491321		0
048503797652	1976BN-L	0
048641102370		0
048641110221		0
048641110726		0
048641112423		0
048641112522		0
048641114328		0
048641118128		0
048641118227		0
048641119521		0
048641119620		0
048641120527		0
048641120824		0
048641121524		0
048641122125		0
048641122323		0
048641123528		0
048641123627		0
048641501357		0
048641514852		0
04868	749190048682	0
04900	749190049009	0
049146	749190049146	0
04915	749190049153	0
049238	749190049238	0
04974	749190047944	0
050302	749190050302	0
050456	749190050456	0
050814	749190050814	0
050852	749190050852	0
051	PF0051	0
051131193970		0
051131200357		0
051131204249		0
051131211834		0
051131674424		0
051131997608		0
051135810767	1005-BLK-CD	0
051135810811	1005-WHT-CD	0
051361	749190051361	0
051381908027		0
051381908034		0
051381908072		0
051381908096		0
051381908102		0
051381908157		0
051415200851		0
051415337861		0
051453	749190051453	0
051477	749190051477	0
051494400555		0
051494400968		0
051494401286		0
051494401415		0
051494430002		0
051494430033		0
051494440384		0
051507	749190051507	0
051514	749190051514	0
051552	749190051552	0
051576	749190051576	0
051590	749190051590	0
051606	749190051606	0
05330317		0
054	GCM054	0
054333	639277054333	0
055	GMC055	0
05563	612615055636	0
057	GCM057	0
05702	612615057029	0
0580555505		0
058132	612615058132	0
058449430070		0
059844	078300059844	0
060185	790011060185	0
060205	088395060205	0
061428	306969061428	0
061748095017		0
06245	612615062450	0
0625		0
06388	612615063884	0
064096	612615064096	0
064180005828		0
064180138021	2177056	0
064180139738	505972	0
064180160145	909401	0
064180160152	909535	0
064180160503	2177087	0
064180160695		0
064180161715	505801	0
064180161722	505802	0
064180162453	L003018	0
064180162576	L003031	0
064180180563	2177108	0
064180180761	2228010	0
064180182574		0
064180182666	L003048	0
064180198902		0
064180200841		0
064180204887		0
064180208847		0
064180211519		0
064180211830		0
064180211878		0
064180211908		0
064180216019		0
064180216385		0
064180216590		0
064180216613		0
064180216910		0
064180909966		0
065338	612615065338	0
065345	612615065345	0
065810276281		0
065810351193		0
065810358093		0
066274	612615066274	0
066276155295		0
066276561997		0
066276562994		0
066731	612615066731	0
067028	612615067028	0
067172	612615067172	0
067981089127		0
06858	793573068583	0
068803	612615068803	0
068958012452		0
068958013244		0
068958013282		0
068958013800		0
068958017457		0
068958028262		0
068958028354		0
068958031842		0
068958043043		0
068958046358		0
068958047461		0
069084	612615069084	0
069091	612615069091	0
069275	612615069275	0
069510	612615069510	0
070	GCM070	0
070501053553		0
070501061626		0
070942127554		0
070942127561		0
070942305990		0
071099060947		0
071384	612615071384	0
071520	612615071520	0
071603003590		0
07172746		0
072140459574	243-2409	0
072560088125		0
072902080008		0
073390000141		0
074182262549		0
074246001336		0
074312053153		0
074312719509	2097947	0
075	1000000063	0
075609042164		0
076	1000000074	0
076314324507		0
076635900107		0
076635900214	XMAS CARDS	0
076635900215	TREE CARDS	0
076635900216	BOXED CARDS	0
076635900909		0
076635901319	90131	0
076635902408		0
076635907502		0
076635908509		0
076635908608		0
076635908707		0
076970443826		0
078300070139		0
078300070290		0
078347032824	032824	0
078347752647		0
078522083009		0
07945	064180079454	0
079656031799		0
079854000351	00035	0
079854006919		0
079854007053		0
079854007589		0
079854007879	00787	0
079854011043	01104	0
079854011074	01107	0
079854011708	01170	0
079854012033	01203	0
079854012453		0
079854015515		0
079854016093	609	0
079854037470	3747	0
079854069907	06990	0
079854070118		0
079854076431	7640	0
079854079623	07962	0
079854079753		0
079854080360	08036	0
079854080445	08044	0
079854089639	08963	0
079854089929		0
079854090369		0
079854090819		0
079854092578	092578	0
079854108156	171	0
079854108927		0
079854168600		0
079854200621		0
079854331004		0
079854600353	01200	0
079854759112		0
079854900057	100	0
080	1000000060	0
08067	733739080677	0
080878015580		0
080878015757		0
08101	018647081016	0
083467246242	2073799	0
085416	628949085416	0
085505	088395085505	0
086368	763948086368	0
086635	628949086635	0
086800110101		0
086800688303		0
086800870258	1867803	0
086800872719		0
086800872733		0
086800872740		0
087052127510		0
087052127527		0
087052712297		0
087052712792		0
087052716714		0
087052719210		0
088395019302		0
08861	039800088611	0
09027	051131201361	0
090700000141		0
090700000677	GOL33	0
090700000837		0
090700000851	LC33	0
090700001506		0
090700003081	CHI31	0
090700003401	PMS5	0
090700003494	HE4	0
090700004026	BREA8	0
090700029067		0
090700029807		0
09074137	STON3	0
09074438		0
09076931	HOR24	0
09079035	MARS28	0
090800000041		0
090800000089	PIPS8	0
090800000287	401611	0
090800000683		0
09081430		0
090900000156	ADR27	0
090900000200	MAL15	0
090900000309		0
090900000651	OAT16	0
090900000668	PAU16	0
09090731		0
09090838		0
09094436	WARM2	0
09098034	ARN28	0
091601	079854091601	0
091618	079854091618	0
091625	079854091625	0
091649	079854091649	0
092	PR0092	0
092172	079854092172	0
093764367021		0
093945306726		0
094922665898		0
094922978615		0
095030001011		0
095030001028		0
095372081054		0
095372271400		0
097020	693749097020	0
09819351	359-3647	0
099	PR0099	0
099468	693749099468	0
0CCOC AST	038905500172	0
0RMAO BAS	038905008074	0
1	771733100083	0
10-79		0
10-85		0
10-G1	1000000083	0
10-G2	1000000084	0
100000000123	10000001233	0
1000000004		0
1000000005		0
1000000006		0
1000000007		0
1000000009		0
1000000011		0
1000000012		0
1000000013		0
1000000015		0
1000000017		0
1000000018		0
1000000019		0
1000000020		0
1000000021		0
1000000022		0
1000000026		0
1000000027		0
1000000028		0
1000000029		0
1000000030		0
1000000031		0
1000000032		0
1000000033		0
1000000034		0
1000000035		0
1000000036		0
1000000037		0
1000000038		0
1000000039		0
1000000040		0
1000000041		0
1000000042		0
1000000043		0
1000000044		0
1000000045		0
1000000046		0
1000000047		0
1000000048		0
1000000049	025715923307	0
1000000050		0
1000000051		0
1000000052		0
1000000089		0
1000000090		0
1000000091		0
1000000092		0
1000000093		0
1000000094		0
1000000095		0
1000000096		0
1000000097		0
1000000098		0
1000000099		0
10000001	10000000012	0
1000000101		0
1000000102		0
1000000103		0
1000000104		0
1000000105		0
1000000106		0
1000000107		0
1000000108		0
1000000109		0
1000000110		0
1000000111		0
1000000114		0
1000000115		0
1000000116		0
1000000118		0
1000000139		0
1000000141	BIOTICS1	0
1000000142	BIOTICS2	0
1000000143	BIOTICS 3	0
1000000145	OPTI CORP	0
1000000148	INVUPS	0
1000000149	INV-FEDEX	0
1000000150	INV-FED2	0
1000000152	10-G3	0
1000000153	JBH2	0
1000000154	LO-1	0
1000000155	FEDEX1ST	0
1000000156	0050-28	0
1000000157	0901-30B	0
1000000159	INV-FEDEX1	0
1000000160	ZRT1	0
1000000161	ZRT	0
1000000162	162	0
1000000163	163	0
1000000164		0
1000000165	165	0
1000000166	166	0
1000000167		0
1000000168		0
1000000544	CHRYSADERM	0
1000000545	TEST STRIP	0
1000000758	CW	0
10005542113	270T	0
100184	731124100184	0
100360	853152100360	0
10039	853152100391	0
10040	853152100407	0
100421	853152100421	0
10051	700596000605	0
10061	787647100613	0
100892	659468100892	0
101		0
101019	628949181019	0
1010C	4021010C	0
1011		0
101101	705105101101	0
102	1000000073	0
10203	812806102037	0
102070	792554102070	0
102440	883196102440	0
102501	812806102501	0
102631	883196102631	0
102NP	102-NP	0
1031	728177010317	0
10311	766298010311	0
10320	737491103209	0
104607	705105104607	0
105NP	105-NP	0
106004	790011060048	0
106013	790011060130	0
109008	790011090083	0
1090512B	DHEA24	0
1091112B	DEHA24	0
10934	771733109345	0
10T	800543015956	0
1100	812122010122	0
1100015	607155001601	0
1100155	363736120016	0
1100612B		0
1100643	038703001185	0
1100866	071409543641	0
1100973	073010006096	0
1101450	053100338757	0
1102847	300870866448	0
1103118	010939465443	0
1103142	023601007292	0
110320	035664103200	0
110321	035664103217	0
110324	035664103248	0
110326	035664103262	0
1103621	036000752113	0
1104454	300650429153	0
1104736	310119020906	0
110479	035664104832	0
110482	035664104825	0
110483	035664104795	0
110486	035664104863	0
1104967	354973308510	0
1104983	358232072112	0
11052	771733110525	0
11053	771733110532	0
1105659	305730216258	0
1106020	011111121140	0
1106657	339822990023	0
1107630	353885393102	0
1111236	381519022852	0
1111525	010939067333	0
1111681	010939073334	0
1111764	381370034551	0
1112325	010939094339	0
1112481	010939097330	0
1112549	010939099334	0
1112622	010939100337	0
1112747	603084215119	0
1114248	787651606675	0
1114362	306030823580	0
1114529	603084215102	0
1115674	010939158444	0
11160		0
1116342	019045139057	0
1116813	032952633449	0
1117118	079400507402	0
1118694	633472002908	0
1118959	832709000018	0
112	1000000075	0
11203	693749112037	0
1120427	041167066201	0
1121284	305360091850	0
1121292	305364092563	0
112135	883196112135	0
1121375	305364089563	0
1126051	072140857509	0
1128438	048694015108	0
1129139	038472436126	0
11292	048641112928	0
1129295	354973751439	0
1129857	022600920502	0
1132232	022600931508	0
1132273	025715675145	0
1133602	038056000125	0
1134436	010939755339	0
1134857	305733010020	0
1136100	366715830357	0
1136811	305733010037	0
1138676	022600980506	0
1138734	381370055419	0
1139237	025715670577	0
11398646		0
1139922	022600642039	0
1140		0
114001	790011140016	0
114004	790011140047	0
1140276	076855700686	0
114028	790011140283	0
1141894	302340129008	0
1142199	073796099206	0
1142264	023601060600	0
1142587	023601032010	0
1142710	047144073385	0
1142926	038703080005	0
1142934	038703080104	0
1142942	038703080203	0
1143023	038703100505	0
1143031	038703101205	0
1144591	079400141552	0
1145366	301932880501	0
1146018	031604027322	0
1146687	855933000517	0
1146927	381370092193	0
1147222	035000553003	0
1148089	072140634131	0
1148451	031604012892	0
1149103	363736004385	0
1149301	023601032027	0
1149632	051009009341	0
115	1000000058	0
1150333	041167017609	0
115041	790011150411	0
115045	790011150459	0
1151406	334362000089	0
1151745	363824175638	0
1152115	310158850007	0
1152123	312843536210	0
1152263	700522100065	0
1153246	700522100072	0
1153790	010939808332	0
1154525	310119002520	0
1155084	380040494008	0
1155274	036602300330	0
1155563	305366237726	0
1155597	310742010749	0
1155803	037000119616	0
1156298	300410825737	0
1157445	010939254443	0
1157619	305360355013	0
1157676	035000141088	0
1158062	300881173122	0
1158138	381370047087	0
1158740	016500535065	0
1159441	016500535034	0
1159847	073462062855	0
116-4755		0
116010	790011160106	0
11603	658010116039	0
1161991	381370044888	0
11619918		0
1163161	079400867001	0
1163625	079400867100	0
1164722	760569063044	0
1164755	037000413516	0
1165208	345802032034	0
1168442	079400265401	0
1168848	010939244444	0
1168897	066440407083	0
1168939	016500537595	0
1169697	070501618301	0
117	1000000053	0
11702	048641117022	0
1170265	300810746885	0
1171602	303952637943	0
1171636	303952799948	0
11727	039800117274	0
1173103	070501053409	0
1173426	310158077046	0
1173889	092265324328	0
1175827	039278110104	0
1176304	381370082743	0
1176460	039278220100	0
1176692	037000443971	0
11792	048641117923	0
1179753	031604014858	0
1180116	005364406017	0
118022	693749118022	0
1181650	323900006171	0
1181841	30014932	0
11818413	381371021253	0
1182633	300430017181	0
11826330		0
1183359	010939251442	0
1183474	010939252449	0
1183532	037000393153	0
1183797	301320201420	0
1184050	037000393160	0
1185255	037000123408	0
1185388	717226111617	0
1186709	005366717012	0
1187251	305365890014	0
1187293	075137431775	0
1188051	041167023044	0
1188143	305365150262	0
1188234	306030535506	0
1188671	312546622197	0
1189919	300810730877	0
1190545	072140008949	0
1190610	070501025192	0
1190842	722510026003	0
1190990	301139490718	0
1191568	070942002011	0
1191683	070942006002	0
1191758	305731965124	0
1192129		0
11922	048641119224	0
1192251	381370032373	0
1193317	011588474305	0
1193325	011588004038	0
1195940	827755070115	0
1196872	305732952208	0
1198183	037000123439	0
1199074	834061000040	0
120		0
120010	790011200109	0
1201185	302250520537	0
1201532	305212171006	0
12015818		0
1202738	305212326000	0
12027385		0
1202746	305212352009	0
1202753	305212345001	0
1203926	305215070009	0
12042	048641120428	0
12062	048641120626	0
1209329	300450192042	0
1209618	038703919084	0
1209634	038703919053	0
1209774	010939571441	0
1209873	312843551046	0
12098736		0
121		0
1211374	033200191209	0
1212224	381370056164	0
1212372	070066017069	0
1212539	070066047066	0
121326	048641121326	0
1213792	076660008625	0
1214618	351672201623	0
1214873	27014927	0
1215060	309041982604	0
1215375	035000509000	0
1215417	035000555007	0
121623	048641121623	0
1216423	740185044900	0
1216878	011509004017	0
1218460	037000449799	0
1218700	078300098331	0
1218734	078300098348	0
1219831	890124000013	0
1220300	037000740841	0
1220458	037000740834	0
1220573	306030026226	0
1220938	051131197176	0
1220946	346017097122	0
1222181	383960522639	0
1223155	041840000027	0
1223817	381370036234	0
122422	048641122422	0
1228030	098193000105	0
1228147	353885245104	0
1228337	704142000088	0
1228717	038703030215	0
1228766	022600050629	0
1228923	603084260225	0
1229202	070501092200	0
1229269	603084260157	0
122927	048641122927	0
1230432	603084260201	0
1230739	043292560418	0
1230838	603084260232	0
1231620	079656007053	0
123234	036000123234	0
123421	883196123421	0
1234228	381519004711	0
123429	048641123429	0
1234566	324208632109	0
1238781	016500023241	0
1239607	350580726389	0
1240779	041608087406	0
1241298	079854011623	0
1241306	079854200300	0
1241322	309045100509	0
1242965	038472504108	0
1243377	079854109108	0
1244839	072140000219	0
1244854	035664010539	0
1244862	035664010522	0
1245844	079854200805	0
1248194	074300005393	0
12499	709616012499	0
1251321	070501060902	0
1251370	070501012901	0
1251628	070501062302	0
1252824	309047688227	0
1253731	010029189624	0
1254630	046985016742	0
1255983	080196302942	0
1256940	077043122006	0
1257104	010939265449	0
1257757	080196300221	0
1257989	353885458023	0
1258870	328785509007	0
1262575	074312011603	0
1262914	077602002169	0
1263136	038485110426	0
1263318	301320202205	0
1264688	023185021226	0
1266709	022600029151	0
1268002	038703009587	0
1270206	086800872603	0
1271105	080196304885	0
1271857	024500080126	0
1273002	086800860044	0
1274018	051131200630	0
1274653	051131201545	0
1274752	363824056203	0
12747528		0
1275684	312843101111	0
1275692	312843101173	0
1275726	300245150059	0
1276773	041167010402	0
1276849		0
1277789	051131200920	0
1278043	897640002125	0
1278985	035000551009	0
1279124	304720343561	0
1279686	323900003620	0
127989	308078127989	0
1280189	756184120415	0
1280270	019100031081	0
1280353	633472004506	0
1280478	037000469698	0
1280627	037000469537	0
1280858	305730191203	0
1281351	306037805503	0
1282292	304720094739	0
1282409	896116001129	0
1283985	302250528489	0
1284348	897640002149	0
1285220	381370044840	0
1285584	051131185036	0
1285618	312547429252	0
12857906		0
1286129	715912059014	0
1286335	715912059021	0
1288687	715912056112	0
1289362	715912056129	0
1289537	086800687634	0
129	1000000054	0
1291574	304721200061	0
1292127	855586000223	0
1292580	302250380803	0
1292648	382902367123	0
129357	064180129357	0
129364	064180129364	0
1293760	070942001533	0
1295054	300881021058	0
1295146	073462150651	0
12951468		0
1296136	302993925040	0
1297191	070501017104	0
1297654	023185081503	0
1297720	307667394665	0
13	771733109253	0
130086	790011130086	0
1301084	381370030218	0
13010843		0
1301100	381370030164	0
1301142	381370037248	0
1301431	381370057055	0
130154	790011130154	0
1301639	381370046677	0
1301647	381370046684	0
13016470		0
1301704	010939101334	0
13017200		0
1301761	381370050407	0
1301837	010939104335	0
1302074	010939111333	0
1302116	010939112330	0
1302587	381370088073	0
1302603	381370088097	0
1302652	381370085201	0
1302678	381370085249	0
1302686	381370085218	0
1302702	381370085256	0
1302850	381370089025	0
1302868	381370089124	0
1303304	010939455338	0
1304286	300230798150	0
13042868		0
1304351	381370092216	0
1304666	067990008591	0
1305713	036000150803	0
1305861	051131862937	0
1306257	382250056335	0
1306273	382250056236	0
1306323	382250056137	0
1306356	382250050036	0
130830	696859130830	0
1308402	010939374448	0
1308618	363736204181	0
131006	883196131006	0
13101		0
1310168	814832010416	0
1310226	763189215374	0
1310390	763189215428	0
1310499	763189215367	0
1310549	763189215411	0
1310614	763189215350	0
1311448	763189215435	0
1311661	038703035456	0
131226	696859131226	0
1312511	041167008911	0
1312990	070501092705	0
13130	768990131301	0
1315548	041388203911	0
1316256	889411545047	0
1316520	835787000086	0
1317171	300854100254	0
1317999	047113275123	0
1318195	010939367440	0
1319417	381519039300	0
1319748	381519039539	0
131C	131-C	0
132	1000000055	0
1320498	092265321341	0
1320555	381370013105	0
1320647	381370016199	0
1323468	354973309319	0
1323567	300672090461	0
1324425	074300000701	0
1324433	074300000718	0
1324581	074300003085	0
1324623	363736176853	0
1325	812122010191	0
1325281	381371025824	0
1327667	011111614246	0
1328285	307660740209	0
1328368	025715905068	0
1328400	307660740520	0
1328533	756184120118	0
1328772	079656049718	0
1329358	011111610118	0
1329556	075609010781	0
1329788	094841256115	0
132C	132-C	0
1330042	763189168328	0
1330075	763189168335	0
1330117	316714271026	0
1330141	763189168342	0
1330687	041167024232	0
1332956	353885002660	0
1333640	041100820334	0
133389	707359133389	0
1334135	070501053607	0
1334374	070501092002	0
1335298	025715678207	0
1336650	300650509350	0
1338060	841058037118	0
1338649	072140813529	0
1339514	309046157601	0
1339886	381519022753	0
1339936	363824171630	0
1340710	044677205405	0
1341379	080196312347	0
1343219	350383778165	0
1343441	025715696195	0
1343722	300450496607	0
1343862	041167063033	0
1343896	367618100608	0
1344019	381519022821	0
1344365	300870740021	0
1345008	010939866332	0
